,comment,quality,difficulty
 SSFMTV,"If you are lucky enough to land in Professor Baskin's Sight and Sound Film Class you better hang on to every piece of instruction and advice the best professor at Tisch has to offer. He is insightful, beyond patient and provides a wealth of knowledge that true cinephiles will not be able to pass up. Don't believe me, ask any of his famous alum.",5.0,2.0
 SANDS101,"Arnie is an excellent teacher. His tangents and fables hold deep insights into filmmaking, narrative style and life in general. He is the best teacher I've had at Tisch. His classes are always full of funny stories and thought provoking critiques of films. His lessons focus on use of cinematography, and complex storytelling structures. Go Baskin!!",4.5,3.0
 SASF001,Arnie is a great guy. He will be honest with you about nearly everything.. something you can't find a lot of these days in a professor. Its the family friend who teaches film. Breath of fresh air from the other NYU professors. Arnie for President.,4.0,2.0
 SSFILM,Great class...,5.0,4.0
 SSFIL101,"Dan is new so he's by the book- so no breaks here, and very strict on red flags- but he's very personable and genuinely cares about your project and well being.",4.0,3.0
 SCA101,"Phenomenal teacher - brilliant. Long and tedious reading assignments, but taking extensive notes during lecture can work instead. May sound monotonous during lecture, but is clear and concise. Learned so much in this class! Became my favorite class, I actually liked going to lecture. Highly recommended!",4.5,2.0
 SCA001,Just a very approachable teacher and helpful in office hours.,5.0,4.0
 SCAUA201,"Prof. Singh is great. Lecture was informative, and the discussions were very genuine. I loved this intro class. If you like classes that are discussion based and require participation, this one is for you!",4.0,2.0
 SCA051,"Lecture is thought provoking and he does a good job of building on key ideas throughout the semester. Recitation, at least with Justin, wasn't discussion based. If it had been I think I would have enjoyed attending it as much as lecture. Professor Singh is very intelligent and yes, it's a lot of reading but it's extremely relevant. Take this!",5.0,2.0
 HIST235,No Comments,4.5,4.0
 HISTA352,"Amazing Prosessor, truly cares.",5.0,4.0
 PHYSECT,No Comments,5.0,1.0
 CHID470,"Nikhil is an amazing professor. He really cares about what he is teaching and about his students. He is extremely intelligent and knowlegeable but was also very laid back, and willing to work around problems. I enjoyed my class with him very much",5.0,3.0
 HISTAA235,"Cool Class. A lot of reading, which you have to do to get a decent score on the final, but still a good class. He's cool too. Really into what he teaches.",4.0,3.0
 HIST491492,"I too would disagree with the previous comment, which I found distasteful.  Dr. Singh has been very open to his students and have helped shape many of our works, including my own.  Personally, I have grown intellectually from studying with him for the past few years...truly one of the best.",4.5,3.0
 HIST4912,"I'd was also in 491/2 and I'd like to completely disagree with the comment from the previous student in that class. Prof. Singh was open to our opinions, helpful, and on several occasions remarked how much he had learned from our class...hardly the actions of an egotist...don't be so childish!",4.5,4.0
 CULTCISLM,"Although he may appear old and senile at first, Chelkowski is a very kind and intelligent man. He made Cultures and Context/Islam very interesting and even brought us on a field trip to a Sufi House. Easy A even if you don't give a damn...but if you do care, then you can not only get an A but learn a thing or two in the process.",4.0,1.0
 ISLAMSOC,Great teacher!  Funny and interesting.,5.0,2.0
 SUFISM,"Without a doubt, the best professor that I ever had in my entire university career. Explains things eloquently, and compells you to learn everything there is to know about his subject matter. I chose my major (MES) due to his inspiration.",5.0,2.0
 SFIIIUF010,"Take him if you are good with memorizing dates and facts. He's definitely more of a historian than a regular teacher. He gives out reasonable essay grades, but he is really HARSH on exams!!! Make sure you  AVOID him if you are not 100% into the topics or if you don't study a lot on a daily basis. OVERALL a good teacher, clear and interesting.",4.0,5.0
 SFIIANDSFIII,"Possibly the best professor I've ever had here. Super interesting and super passionate, and his cynical sense of humor makes the class interesting.",4.5,4.0
 SOC00I,"BRILLIANT! Definitely not the easiest class, but if you work hard, study, and participate, it will be one of the most rewarding classes you take in LSP. He's a wealth of fascinating knowledge and extremely fair and approachable. You have to go to class to do well, but the classes are often so interesting you don't mind. Take him!",5.0,4.0
 SOCSOC,Very intelligent.His sarcasm lights up the lectures. He didn't give any homework the whole semester. Just two papers of your own topic and the normal midterm/final. They're easy if you pay attention to everything he says. Be careful with the papers because the guy knows everything and can easily prove you wrong.He doesnt like kiss ups.,4.0,4.0
 TOPICMODS,"This man is so awesome. He is funny, knows so much about everything, and he's from Amsterdam. He is just great. Totally take him",4.0,3.0
 SFOUNI,"If you're a history buff, this guy is for you. I thought his lectures were pretty good, and he knows his stuff. However, he is tough; there were a number of students in my class who struggled through the whole semester. If history isn't your thing, try to find another class.",4.0,3.0
 RULEOLAW,Makes cheesy jokes but uses interesting personal examples,4.0,2.0
 GCT001,"I had Professor Fleming for German Critical Theory and it was a mind blowing class. We were reading incredibly difficult texts but he made them so accessible without being reductive. He's the best professor I've had at NYU yet, if you have any chance to take a class with him you should!",5.0,2.0
 CONWE19,1) He is so redundant that you really only have to show up for the 1st 20 min to get the main idea 2) you can get an A without actually reading if you show up to class 3) he's the COOLEST 4) rct. is a joke 5) Readings are awesome albeit German-focused 6) Papers are straightforward thinking IN SUMMARY: GET THIS CLASS IF AT ALL POSSIBLE,5.0,1.0
 ANTIQ19C,"Didn't expect to enjoy the class but Fleming made it interesting. He uses good material, explains it well, and makes it interesting. He does his best to make lectures fun. He really knows the material well. An easy class if you pay attention, takes notes, go to lecture. He makes things pretty clear, and the midterm/final are very straightforward.",5.0,2.0
 MAP19TH,"I had him for conwest. All around easy class but attendance is mandatory so there's no reason not to do tell. Take him, you won't regret it.",4.5,1.0
 CTT400,"great professor, interesting class! i would recommend it to anyone...",5.0,3.0
